"iso2","year","sector","un","ets","country","ratio"
"AT",2009,"Energy",12526267.29,15576783,"Austria",1.24352950798322
"AT",2009,"Metals",9797247.79,5654763,"Austria",0.577178726230829
"AT",2009,"Minerals",4268624,4239901,"Austria",0.993271133742396
"AT",2009,"Chemicals",2064110.25,34712,"Austria",0.0168169311692532
"AT",2009,"Paper",2219609.32,1834689,"Austria",0.826581950016321
"AT",2009,"Residual",36607201.07,18985,"Austria",0.000518613809444132
"AT",2009,"Transport",20888495.52,NA,"Austria",NA
"AT",2009,"Total",67483059.72,27359833,"Austria",0.405432609510018
"AT",2010,"Energy",13852187.5,18230591,"Austria",1.31608029417736
"AT",2010,"Metals",11926180.46,6501135,"Austria",0.545114592371345
"AT",2010,"Minerals",4188609.82,4163252,"Austria",0.99394600569408
"AT",2010,"Chemicals",2220116.96,112231,"Austria",0.0505518411966908
"AT",2010,"Paper",2339625.4,1886524,"Austria",0.806335920271681
"AT",2010,"Residual",37856423.99,25978,"Austria",0.000686224351430084
"AT",2010,"Transport",21670095.62,NA,"Austria",NA
"AT",2010,"Total",72383144.13,30919711,"Austria",0.427167282820269
"AT",2011,"Energy",13666544.68,17899629,"Austria",1.30974064177281
"AT",2011,"Metals",12115807.98,6433696,"Austria",0.53101666934804
"AT",2011,"Minerals",4325361.73,4298489,"Austria",0.993787171645411
"AT",2011,"Chemicals",2200549.83,94937,"Austria",0.0431423995520247
"AT",2011,"Paper",2293085.86,1845619,"Austria",0.804862579371537
"AT",2011,"Residual",35514320.35,27048,"Austria",0.000761608267691374
"AT",2011,"Transport",20933813.49,NA,"Austria",NA
"AT",2011,"Total",70115670.43,30599418,"Austria",0.436413398208164
"AT",2012,"Energy",12256272.25,15957564,"Austria",1.30199163942364
"AT",2012,"Metals",11816525.96,6305442,"Austria",0.533612164975094
"AT",2012,"Minerals",4233139.29,4206570,"Austria",0.993723502067895
"AT",2012,"Chemicals",2203949.79,95616,"Austria",0.0433839284514735
"AT",2012,"Paper",2057136.5,1796601,"Austria",0.873350407228689
"AT",2012,"Residual",35094375.76,25267,"Austria",0.000719972914543159
"AT",2012,"Transport",20829307.04,NA,"Austria",NA
"AT",2012,"Total",67661399.55,28387060,"Austria",0.419545859068769
"AT",2013,"Energy",11224625.46,10901154,"Austria",0.971181981870779
"AT",2013,"Metals",12379579.67,12055620,"Austria",0.973831125237227
"AT",2013,"Minerals",4271327.48,4204933,"Austria",0.984455773922537
"AT",2013,"Chemicals",2111703.36,905548,"Austria",0.428823487783815
"AT",2013,"Paper",1944860.92,1622499,"Austria",0.834249371415206
"AT",2013,"Residual",36069133.54,114656,"Austria",0.0031787844272125
"AT",2013,"Transport",21834862.69,NA,"Austria",NA
"AT",2013,"Total",68001230.43,29804410,"Austria",0.438292216354533
"AT",2014,"Energy",9499544.19,9139321,"Austria",0.962079950069688
"AT",2014,"Metals",12195313.5,11999439,"Austria",0.983938543277301
"AT",2014,"Minerals",4334919.42,4226171,"Austria",0.974913392969136
"AT",2014,"Chemicals",2197336.55,1032263,"Austria",0.469779197001024
"AT",2014,"Paper",1730881.91,1549884,"Austria",0.895430237641111
"AT",2014,"Residual",34295330.61,108896,"Austria",0.00317524275354988
"AT",2014,"Transport",21297930.41,NA,"Austria",NA
"AT",2014,"Total",64253326.18,28055974,"Austria",0.436646251143539
"AT",2015,"Energy",10623550.19,10318313,"Austria",0.97126787330592
"AT",2015,"Metals",12561819.32,12173536,"Austria",0.969090200224278
"AT",2015,"Minerals",4345049.69,4237961,"Austria",0.975353862984246
"AT",2015,"Chemicals",2165851.2,1004497,"Austria",0.463788555741964
"AT",2015,"Paper",1833692.42,1644182,"Austria",0.896650922514039
"AT",2015,"Residual",35174025.11,113576,"Austria",0.0032289736430452
"AT",2015,"Transport",21634629.39,NA,"Austria",NA
"AT",2015,"Total",66703987.93,29492065,"Austria",0.442133460310489
"AT",2016,"Energy",10448925.88,9927398,"Austria",0.950087895541661
"AT",2016,"Metals",12223206.86,11919252,"Austria",0.975132969319641
"AT",2016,"Minerals",4418315.7,4310787,"Austria",0.975662965867287
"AT",2016,"Chemicals",2100279.37,1136643,"Austria",0.541186575574467
"AT",2016,"Paper",1691602.32,1594898,"Austria",0.9428327102318
"AT",2016,"Residual",36519752.46,111142,"Austria",0.00304333935783748
"AT",2016,"Transport",22549941.69,NA,"Austria",NA
"AT",2016,"Total",67402082.59,29000120,"Austria",0.430255548280381
"AT",2017,"Energy",NA,10533881,"Austria",NA
"AT",2017,"Metals",NA,12814528,"Austria",NA
"AT",2017,"Minerals",NA,4338675,"Austria",NA
"AT",2017,"Chemicals",NA,1071913,"Austria",NA
"AT",2017,"Paper",NA,1672178,"Austria",NA
"AT",2017,"Residual",NA,124051,"Austria",NA
"AT",2017,"Transport",NA,NA,"Austria",NA
"AT",2017,"Total",NA,30555226,"Austria",NA
"BE",1990,"Energy",29859360.87,NA,"Belgium",NA
"BE",1990,"Metals",16625990.27,NA,"Belgium",NA
"BE",1990,"Minerals",10848240.43,NA,"Belgium",NA
"BE",1990,"Chemicals",7375845.71,NA,"Belgium",NA
"BE",1990,"Paper",643919.77,NA,"Belgium",NA
"BE",1990,"Residual",55131042.2,NA,"Belgium",NA
"BE",1990,"Transport",19730172.81,NA,"Belgium",NA
"BE",1990,"Total",120484399.25,NA,"Belgium",NA
"BE",1991,"Energy",30491531.89,NA,"Belgium",NA
"BE",1991,"Metals",15786617.04,NA,"Belgium",NA
"BE",1991,"Minerals",10682272.71,NA,"Belgium",NA
"BE",1991,"Chemicals",7224506.14,NA,"Belgium",NA
"BE",1991,"Paper",694525.32,NA,"Belgium",NA
"BE",1991,"Residual",58665256.28,NA,"Belgium",NA
"BE",1991,"Transport",19918399.91,NA,"Belgium",NA
"BE",1991,"Total",123544709.38,NA,"Belgium",NA
"BE",1992,"Energy",29289874.38,NA,"Belgium",NA
"BE",1992,"Metals",15521985.84,NA,"Belgium",NA
"BE",1992,"Minerals",10518150.22,NA,"Belgium",NA
"BE",1992,"Chemicals",7649559.24,NA,"Belgium",NA
"BE",1992,"Paper",735640.19,NA,"Belgium",NA
